sessionId,askAnswerId,machineId,configId,audioUrl,question,answer,language,isHelpful,isApology,startAt,endAt,category,subCategory,mentionedstorename,isMentionedBrandsInKM,quickReplyLevel,quickReplyParentTitle,questionNumber,keyword,machineName
1769869166981,1769869172562,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: promotion,"There are several great promotions available right now.
You can tap the cards below to see more details.",en-US,,false,2026-01-31T21:19:32.562794+07:00,2026-01-31T21:19:33.687617+07:00,Quick Reply,,,,1,,1,,TheMall-001-M8-BKP-01
1769869154255,1769869156849,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Directory,"ขณะนี้ลูกค้าอยู่ที่เดอะมอลล์ไลฟ์สโตร์ บางกะปิ นะคะ
อยากหาร้านไหนหรือแบรนด์อะไรเป็นพิเศษไหมคะ เดี๋ยวฉันช่วยดูให้ค่ะ",th-TH,,false,2026-01-31T21:19:16.849995+07:00,2026-01-31T21:19:18.604856+07:00,Quick Reply,,,,1,,1,,TheMall-001-M8-BKP-01
1769864191017,1769864215460,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,,หอแว่น,"BETTER VISION หรือที่เรียกว่าหอแว่นค่ะ
ตั้งอยู่ที่ The Mall Lifestore Bangkapi ชั้น 1
เป็นร้านแว่นตาแฟชั่นที่จำหน่ายแว่นสายตาและแว่นกันแดดด้วยค่ะ
ถ้าคุณสนใจแว่นตาหรือแว่นกันแดดที่นี่มีให้เลือกเยอะเลยค่ะ",th-TH,,false,2026-01-31T19:56:55.460365+07:00,2026-01-31T19:57:00.301077+07:00,Shop Specific,Eyewear,optical88,,,,2,,TheMall-001-M8-BKP-01
1769864191017,1769864195531,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=8781a4f24aa880a27473853ea5fd49fb,หมอแว่น,"ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับ หมอแว่น
ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ",th-TH,,true,2026-01-31T19:56:35.531875+07:00,2026-01-31T19:56:40.484191+07:00,Shop Specific,Optical,mister eye,,,,1,,TheMall-001-M8-BKP-01
1769857766393,1769857813001,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=e0925289e582a719bebed61e0af3e12b,ชื่อร้านอะไรบ้าง,"ที่นี่มีร้านค้าที่ร่วมรายการและร้านในศูนย์การค้าหลายร้านค่ะ
เช่น H&M, Hoka, Oakley, Rev Runnr, You&I, Adidas, American Eagle, Ari Football (ยกเว้น The Mall Korat), Birkenstock, City Chain, Come Sa On, HUAWEI Hub by UFicon, iStudio by UFicon, Jae-Hwa Clinic, JD Sport, Kipling, Lalanros, Mae Sri Ruen, Mango, MLAB, Nitori, Oishi Biztoro, Oishi Buffet, Oishi Ramen, Ootoya, Puma, Roborock, SB Design Square, Seiko, Senju Shabu & Sushi Premium Buffet, Shabushi, Skechers, Sony Store, Tenjo Sushi & Yakiniku, Under Armour, V Square Clinic, Wisdom International Buffet, Yamaha Music School, Konvy, Karmakamet, Decathlon, Oppo ค่ะ
นอกจากนี้ยังมีร้านแฟชั่นอย่าง HLA Concept Store ที่ชั้น G และ 2nd Street ที่ชั้น 1 ด้วยค่ะ
ถ้าคุณสนใจร้านไหนเป็นพิเศษ บอกได้นะคะ",th-TH,false,false,2026-01-31T18:10:13.00167+07:00,2026-01-31T18:10:23.204714+07:00,Misc,,,,,,4,,TheMall-001-M8-BKP-01
1769857766393,1769857792496,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=9c8348cc493f231929ab89bde148a727,ที่นี่มีร้าน HOKA กี่ร้าน,"ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับจำนวนร้าน HOKA ที่นี่ค่ะ
ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ",th-TH,,true,2026-01-31T18:09:52.496982+07:00,2026-01-31T18:09:58.047926+07:00,Shop Specific,Footwear,hoka,,,,3,,TheMall-001-M8-BKP-01
1769857766393,1769857780114,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=03d25cdaa0d9ce4e7c478150a88471a1,สวัสดี,"สวัสดีค่ะ
มีอะไรให้ช่วยไหมคะ?",th-TH,,false,2026-01-31T18:09:40.114425+07:00,2026-01-31T18:09:44.980424+07:00,Misc,,,,,,2,,TheMall-001-M8-BKP-01
1769857766393,1769857770267,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=36c31e4e752874284c173fc5792c97b4,สวัสดีครับ,ฉันคือ M-Agent ค่ะ,th-TH,,false,2026-01-31T18:09:30.267587+07:00,2026-01-31T18:09:35.048663+07:00,Misc,,,,,,1,,TheMall-001-M8-BKP-01
1769853329335,1769853557802,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=db3b0b946216422e50cf56e6ce167056,you can't find it on floor three,"Starbucks is actually available on floor 3 at The Mall Lifestore Bangkapi.
You can also find it on floors G and M.
On floor 3, it’s near the Bangkapi Cineplex zone and restrooms.
So, you can definitely find Starbucks on floor 3.",en-US,,false,2026-01-31T16:59:17.802481+07:00,2026-01-31T16:59:23.323375+07:00,Map and Navigation,Floor Information,,,,,3,,TheMall-001-M8-BKP-01
1769853329335,1769853534236,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,,Starbucks,"Starbucks is located at The Mall Lifestore Bangkapi.
You can find it on floors 3, G, and M.
It offers cafe and dessert options, perfect for a coffee break.
Let me know if you want directions or more info!",en-US,,false,2026-01-31T16:58:54.236685+07:00,2026-01-31T16:58:59.364682+07:00,Shop Specific,Coffee Shop,starbucks,,,,2,,TheMall-001-M8-BKP-01
