sessionId,askAnswerId,machineId,configId,rating,startAt,reason,reasonText,machineName,firstQuestion,firstAnswer,language
1769853253762,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-01-31T16:54:18.803913+07:00,,,TheMall-001-M8-BKP-01,ชื่ออะไรคะ,ฉันคือ M-Agent ค่ะ,th-TH
1769778781505,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-01-30T21:46:03.834278+07:00,speed,Speed,TheMall-001-M8-BKP-01,quick reply: promotion,"There are several great promotions available right now.
You can tap the cards below to see more details.",en-US
1769757278819,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-01-30T14:24:14.120782+07:00,,,TheMall-001-M8-BKP-01,quick reply: Directory,"You’re now at The Mall Life Store Bangkapi.
Is there any store or brand you’d like to find? I can help you with that!",en-US
1769683650266,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-01-29T17:47:33.695396+07:00,speed,Speed,TheMall-001-M8-BKP-01,quick reply: Directory,"You’re now at The Mall Life Store Bangkapi.
Is there any store or brand you’d like to find? I can help you with that!",en-US
1769683530026,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-01-29T17:46:03.082723+07:00,,,TheMall-001-M8-BKP-01,quick reply: MCard,MCard comes in various types. You can click the cards below to explore them.,en-US
1769339552680,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-01-25T18:12:33.939574+07:00,,,TheMall-001-M8-BKP-01,quick reply: Directory,"You’re now at The Mall Life Store Bangkapi.
Is there any store or brand you’d like to find? I can help you with that!",en-US
1769252698375,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,1,2026-01-24T18:05:13.560666+07:00,,,TheMall-001-M8-BKP-01,,,
1769067445964,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,2,2026-01-22T16:49:48.044653+07:00,,,TheMall-001-M8-BKP-01,quick reply: MCard,MCard comes in various types. You can click the cards below to explore them.,en-US
1768826144285,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,1,2026-01-19T19:36:00.514794+07:00,helpfulness,Helpfulness,TheMall-001-M8-BKP-01,What is an outcast?,"I'm sorry, I couldn't find information about what an outcast is.
If I misunderstood your question, please ask again.",en-US
1768812322465,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,1,2026-01-19T15:45:32.773324+07:00,,,TheMall-001-M8-BKP-01,restaurant,ที่เดอะมอลล์บางกะปิ คุณสามารถเลือกทานอาหารได้หลายร้านเลยค่ะ,th-TH
