sessionId,askAnswerId,machineId,audioUrl,question,answer,language,isHelpful,isApology,startAt,endAt,category,subCategory,mentionedstorename,machineName
1772282972206,1772283326090,931f1948-b731-47a8-a4c2-bdd48d473584,,quick reply: MCard,,en-US,,false,2026-02-28T19:55:26.090399+07:00,2026-02-28T19:55:27.188938+07:00,Misc,,,TheMall-003-M6-NGW-01
1772282935497,1772282941404,931f1948-b731-47a8-a4c2-bdd48d473584,https://amity-merlin-downloadable.s3.amazonaws.com/audios/99f8da69b84a399636d31c093b9041e3/1772282941404.wav,สวัสดี ร้าน BOOTS อยู่ไหน,"ร้าน BOOTS อยู่ที่ The Mall Lifestore Ngamwongwan ชั้น G ค่ะ
อยู่ใกล้กับลิฟต์แก้วที่ชั้น G ด้วยนะคะ
มีอะไรให้ช่วยเพิ่มเติมไหมคะ?",th-TH,,false,2026-02-28T19:49:01.404889+07:00,2026-02-28T19:49:06.33428+07:00,Map and Navigation,Store Location,boots,TheMall-003-M6-NGW-01
1772282289831,1772282380143,931f1948-b731-47a8-a4c2-bdd48d473584,https://amity-merlin-downloadable.s3.amazonaws.com/audios/99f8da69b84a399636d31c093b9041e3/1772282380143.wav,ร้านอาหารญี่ปุ่นร้านไหนที่มีโปรโมชั่นบ้างครับ,"ที่เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน ชั้น 5 ร้าน TENJO SUSHI & YAKINIKU มีโปรโมชั่นค่ะ
สมาชิก M Card จะได้รับ 2 สิทธิพิเศษทุกวัน
สิทธิ์ที่ 1 คือ รับส่วนลดเพิ่ม 12.5% เมื่อใช้คะแนนแลก (ไม่เกินยอดซื้อ)
สิทธิ์ที่ 2 คือ สะสมคะแนน M Point 2 คะแนน ทุก 25 บาทที่ใช้จ่าย
โปรโมชั่นนี้ใช้ได้ตั้งแต่ 1 มกราคม ถึง 31 ธันวาคม 2569 ค่ะ
ถ้าคุณสนใจร้านอื่น ๆ หรือรายละเอียดเพิ่มเติม แจ้งได้นะคะ",th-TH,true,false,2026-02-28T19:39:40.144017+07:00,2026-02-28T19:39:48.387152+07:00,Promotions,Japanese Food,,TheMall-003-M6-NGW-01
1772282289831,1772282345483,931f1948-b731-47a8-a4c2-bdd48d473584,https://amity-merlin-downloadable.s3.amazonaws.com/audios/99f8da69b84a399636d31c093b9041e3/1772282345483.wav,อยากทานสลัด มีประโยชน์ต่อร่างกาย มีโปรโมชั่นอะไรส่งเสริมไหมช่วงนี้,"ที่เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน ชั้น 5 มีร้าน SALAD FACTORY ค่ะ
ร้านนี้เสิร์ฟอาหารฟิวชั่นและมีตัวเลือกอาหารเพื่อสุขภาพด้วยค่ะ
แต่ตอนนี้ฉันไม่พบข้อมูลโปรโมชั่นเฉพาะสำหรับสลัดหรือร้าน SALAD FACTORY นะคะ
ถ้าคุณสนใจโปรโมชั่นอื่น ๆ หรือร้านอาหารสุขภาพเพิ่มเติม แจ้งได้นะคะ",th-TH,,false,2026-02-28T19:39:05.483164+07:00,2026-02-28T19:39:12.628638+07:00,Promotions,Food and Beverage,,TheMall-003-M6-NGW-01
1772282289831,1772282297709,931f1948-b731-47a8-a4c2-bdd48d473584,https://amity-merlin-downloadable.s3.amazonaws.com/audios/99f8da69b84a399636d31c093b9041e3/1772282297709.wav,วันนี้มีรายการร้านอาหารที่น่าสนใจอะไรบ้างครับ,"ที่เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วานมีร้านอาหารน่าสนใจหลายร้านค่ะ
เช่น ร้านส้มตำหนู ที่ให้บริการอาหารไทยและอีสาน
ร้านเจ๊แดงสามย่าน ก็มีอาหารไทยและอีสานเช่นกันค่ะ
ถ้าชอบอาหารญี่ปุ่น มีร้านฟูจิ ที่เสิร์ฟอาหารญี่ปุ่นแท้ ๆ
และร้านเทนโจ ซูชิ & ยากินิกุ พรีเมียมบุฟเฟต์ ที่มีทั้งปิ้งย่างและบุฟเฟต์
นอกจากนี้ยังมีร้านอาหารหลากหลายประเภท ทั้งไทย ญี่ปุ่น เกาหลี และฟาสต์ฟู้ดด้วยค่ะ",th-TH,,false,2026-02-28T19:38:17.709644+07:00,2026-02-28T19:38:25.896995+07:00,Recommendation,Food and Beverage,,TheMall-003-M6-NGW-01
1772280729890,1772282258847,931f1948-b731-47a8-a4c2-bdd48d473584,,quick reply: promotion,"There are several great promotions available right now.
You can tap the cards below to see more details.",en-US,,false,2026-02-28T19:37:38.847999+07:00,2026-02-28T19:37:40.087717+07:00,Promotions,,,TheMall-003-M6-NGW-01
1772280267341,1772281469429,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,,quick reply: promotion,"There are several great promotions available right now.
You can tap the cards below to see more details.",en-US,,false,2026-02-28T19:24:29.429417+07:00,2026-02-28T19:24:31.344127+07:00,Quick Reply,,,TheMall-002-M7-BKE-01
1772274678197,1772281011249,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,,quick reply: Directory,"You’re now at The Mall Life Store Bangkapi.
Is there any store or brand you’d like to find? I can help you with that!",en-US,,false,2026-02-28T19:16:51.250036+07:00,2026-02-28T19:16:53.581224+07:00,Quick Reply,,,TheMall-001-M8-BKP-01
1772280566208,1772280721174,931f1948-b731-47a8-a4c2-bdd48d473584,,quick reply: Directory,"You’re now at The Mall Life Store Ngamwongwan.
Is there any store or brand you’d like to find? I can help you with that!",en-US,,false,2026-02-28T19:12:01.174111+07:00,2026-02-28T19:12:03.277324+07:00,Map and Navigation,Directory,,TheMall-003-M6-NGW-01
1772280367637,1772280543761,931f1948-b731-47a8-a4c2-bdd48d473584,,quick reply: MCard,MCard comes in various types. You can click the cards below to explore them.,en-US,,false,2026-02-28T19:09:03.761847+07:00,2026-02-28T19:09:05.04963+07:00,Misc,,,TheMall-003-M6-NGW-01
1772279795089,1772280339727,931f1948-b731-47a8-a4c2-bdd48d473584,,THE MALL LIFESTORE TASTE OF LUCK,"I'm sorry, I couldn't find information about THE MALL LIFESTORE TASTE OF LUCK.
If I misunderstood your question, please ask again.",en-US,,true,2026-02-28T19:05:39.727212+07:00,2026-02-28T19:05:43.961429+07:00,Events,,,TheMall-003-M6-NGW-01
1772280230317,1772280234921,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,https://amity-merlin-downloadable.s3.amazonaws.com/audios/39a29ac50e1bc61b19d54c1c016c038f/1772280234921.wav,ร้าน BONCHON อยู่ที่ไหน,"ร้าน BONCHON อยู่ที่ชั้น G
ใน The Mall Lifestore Bangkae ค่ะ
เป็นร้านอาหารเกาหลีที่มีเมนูหลากหลาย
ถ้าคุณต้องการข้อมูลเพิ่มเติม แจ้งได้นะคะ",th-TH,,false,2026-02-28T19:03:54.921737+07:00,2026-02-28T19:04:00.890521+07:00,Map and Navigation,Restaurant,bonchon,TheMall-002-M7-BKE-01
1772279844308,1772280067726,c9f04fd5-e1d4-47a5-8866-ac555bced1d3,https://amity-merlin-downloadable.s3.amazonaws.com/audios/2256d86be4381ea371559a2a1ab0334b/1772280067726.wav,I still don't have an M Point member.,"To become an M Point member, you would typically need to register for the M Card loyalty program.
However, I couldn't find specific details about how to sign up for M Point membership in the information I have.",en-US,,false,2026-02-28T19:01:07.726+07:00,2026-02-28T19:01:16.184+07:00,Misc,,,TheMall-004-M5-THA-01
1772279844308,1772280008241,c9f04fd5-e1d4-47a5-8866-ac555bced1d3,https://amity-merlin-downloadable.s3.amazonaws.com/audios/2256d86be4381ea371559a2a1ab0334b/1772280008241.wav,"Yes, why not.","At LAB PHARMACY in The Mall Lifestore Tha Phra, you get 2 great perks every day!
First, for every 25 Baht you spend, you earn 1 M Point.",en-US,,false,2026-02-28T19:00:08.241+07:00,2026-02-28T19:00:13.599+07:00,Misc,,,TheMall-004-M5-THA-01
