sessionId,askAnswerId,machineId,configId,audioUrl,question,answer,language,isHelpful,isApology,startAt,endAt,category,subCategory,mentionedstorename,isMentionedBrandsInKM,quickReplyLevel,quickReplyParentTitle,questionNumber,keyword,machineName
1777559225675,1777559232824,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Platinum MCard,"Platinum M Card ให้สิทธิพิเศษมากมายค่ะ <break/>
- รับส่วนลด 5-10% สำหรับสินค้าราคาปกติที่ห้างในเครือ The Mall Group, Power Mall และ Gourmet Market รวมถึงช้อปออนไลน์ <break/>
- สะสมคะแนน M Point 1 คะแนน ทุกการใช้จ่าย 25 บาท <break/>
- แลกคะแนน 800 คะแนน เป็นบัตรกำนัลมูลค่า 100 บาท พร้อมรับส่วนลดเพิ่ม 12.5% <break/>
- บริการจอดรถพิเศษ จองที่จอดรถล่วงหน้าผ่านแอป M Card <break/>
- บริการส่งสินค้าหลังช้อปปิ้งในร้าน <break/>
- มีผู้ช่วยช้อปปิ้งส่วนตัวในห้าง <break/>
- ช้อปแบบไม่ต้องถือถุง (Hands-free Shopping) <break/>
- บริการจัดส่งสินค้าด่วนสำหรับช้อปออนไลน์ <break/>
- ส่งฟรีไม่มีขั้นต่ำ (ตามเงื่อนไขของห้าง) <break/>
- เข้าถึง Platinum M Lounge พิเศษสำหรับสมาชิก <break/>
- บริการ MLUXE Chat & Shop ช้อปออนไลน์พร้อมคำแนะนำจากผู้เชี่ยวชาญ <break/>
ถ้าคุณสนใจรายละเอียดเพิ่มเติมหรือสอบถามสินค้า สามารถติดต่อผ่าน Line: @EMDISTRICT ได้เลยค่ะ <break/>",th-TH,,false,2026-04-30T14:27:13.543580+00:00,2026-04-30T14:27:21.435791+00:00,Quick Reply,,,,2,,2,,TheMall-002-M8-BKP-03
1777559225675,1777559229159,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: MCard,MCard มีหลากหลายรูปแบบ สามารถคลิกดูได้ตาม Card ด้านล่าง,th-TH,,false,2026-04-30T14:27:09.818318+00:00,2026-04-30T14:27:10.281355+00:00,Quick Reply,,,,1,,1,,TheMall-002-M8-BKP-03
1777558880209,1777559223383,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Special Privilege,"""“You’re currently at The Mall Lifestore Bangkapi.<break/>Discover special privileges waiting for you across the mall.<break/>Would you like to see participating stores?”""",en-US,,false,2026-04-30T14:27:04.523607+00:00,2026-04-30T14:27:05.372779+00:00,Quick Reply,,,,1,,1,,TheMall-002-M8-BKP-03
1777557486111,1777557490130,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=2fb5ba960a72fe7b2bbc6e065dd1c237, สวัสดีค่ะ,ฉันคือ M-Agent ค่ะ <break/> ยินดีที่ได้ช่วยเหลือคุณ <break/> มีอะไรให้ช่วยไหมคะ? <break/>,th-TH,,false,2026-04-30T13:58:11.513977+00:00,2026-04-30T13:58:17.252961+00:00,Misc,,,,,,1,,TheMall-002-M8-BKP-03
1777557209480,1777557213254,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Coffee or Tea,"""ขณะนี้ลูกค้าอยู่ที่เดอะมอลล์ไลฟ์สโตร์ บางกะปิ นะคะ<break/>ขณะนี้มีโปรโมชั่นเครื่องดื่มกาแฟและชาภายในศูนย์การค้าค่ะ<break/>สนใจให้ฉันแนะนำร้านที่ร่วมรายการไหมคะ""",th-TH,,false,2026-04-30T13:53:33.913651+00:00,2026-04-30T13:53:34.197540+00:00,Quick Reply,,,,1,,1,,TheMall-002-M8-BKP-03
1777557197819,1777557203891,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=5a4e3dc165a81f34b45e2355aaeb38cf, show me an event,"You can check out the Japan Discovery event on the 1st floor at The Mall Lifestore Bangkapi. <break/>  
Or, if you prefer, there is WAT THE FEST on the Ground floor, featuring pop-ups, showcases, and promotions. <break/>  
Also, Jungle Walk and Island events are happening on the Ground floor too. <break/>  
Would you like details about any specific event? <break/>",en-US,,false,2026-04-30T13:53:25.335216+00:00,2026-04-30T13:53:31.558220+00:00,Events,,,,,,1,,TheMall-002-M8-BKP-03
1777556728093,1777556732551,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=82a0ec8720cd62be753e6388113aa66c, ask,ฉันคือ M-Agent ค่ะ <break/> ยินดีที่ได้ช่วยเหลือคุณ <break/> มีอะไรให้ช่วยไหมคะ? <break/>,th-TH,,false,2026-04-30T13:45:34.117727+00:00,2026-04-30T13:45:39.136575+00:00,TranscriptionError,,,,,,1,,TheMall-002-M8-BKP-03
1777556681955,1777556702105,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=02430c8b672a80de8e541c0031a99466, maguro,"ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับร้าน Maguro <break/> แต่ถ้าคุณสนใจร้านอาหารญี่ปุ่นที่ The Mall Lifestore Bangkapi <break/> เรามีร้าน Minato อยู่ที่ชั้น G โซนฟู้ดฮอลล์ค่ะ <break/> หรือจะเป็น Fuji Restaurant, SHINKANZEN SUSHI, YAYOI Japanese Restaurant และ Hachiban Ramen ทั้งหมดอยู่ที่ชั้น 3 ค่ะ <break/> คุณสนใจร้านไหนเป็นพิเศษไหมคะ? <break/>",th-TH,,true,2026-04-30T13:45:03.520348+00:00,2026-04-30T13:45:13.722675+00:00,Products & Services,Food & Beverage,,,,,3,,TheMall-002-M8-BKP-03
1777556681955,1777556692280,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=f697e7f225cb27a3a0ab6c7edbabe19d, อีสาน,"ถ้าคุณสนใจอาหารอีสานค่ะ <break/> ที่ The Mall Lifestore Bangkapi มีร้าน ""ตำกระจูด"" ค่ะ <break/> เป็นร้านอาหารอีสานในโซนฟู้ดคอร์ท ชั้น G <break/> คุณจะได้ลิ้มรสอาหารอีสานแท้ ๆ ที่นี่เลยค่ะ <break/> ถ้าต้องการแนะนำเมนูหรือรายละเอียดเพิ่มเติม แจ้งได้นะคะ <break/>",th-TH,,false,2026-04-30T13:44:53.761395+00:00,2026-04-30T13:45:03.844440+00:00,Out of Scope,,,,,,2,,TheMall-002-M8-BKP-03
1777556681955,1777556686490,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=a079cb346671990d4e9694f1f1785e15, Hello,ฉันคือ M-Agent ค่ะ <break/> ยินดีที่ได้ช่วยเหลือคุณ <break/> มีอะไรให้ช่วยไหมคะ? <break/>,th-TH,,false,2026-04-30T13:44:48.514790+00:00,2026-04-30T13:44:52.590314+00:00,Misc,,,,,,1,,TheMall-002-M8-BKP-03
1777556650860,1777556659953,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: promotion,There are several great promotions available right now.<break/>You can tap the cards below to see more details.,en-US,,false,2026-04-30T13:44:20.673117+00:00,2026-04-30T13:44:20.948891+00:00,Quick Reply,,,,1,,1,,TheMall-002-M8-BKP-03
1777556632961,1777556636618,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Special Privilege,"""ขณะนี้ลูกค้าอยู่ที่เดอะมอลล์ไลฟ์สโตร์ บางกะปิ นะคะ<break/>ค้นพบสิทธิพิเศษที่รอคุณอยู่ทั่วทั้งศูนย์การค้า<break/>คุณต้องการดูร้านค้าที่ร่วมรายการหรือไม่<break/>ลูกค้าสามารถแตะดูรายละเอียดจากการ์ดด้านล่างได้เลยนะคะ""",th-TH,,false,2026-04-30T13:43:57.716251+00:00,2026-04-30T13:43:58.012653+00:00,Quick Reply,,,,1,,1,,TheMall-002-M8-BKP-03
1777556190137,1777556220566,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=f823691c3d83965d88faf34f91952096, Ru,ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับจาร์วิส <break/> ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ <break/>,th-TH,,true,2026-04-30T13:37:01.824563+00:00,2026-04-30T13:37:07.559062+00:00,TranscriptionError,,,,,,3,,TheMall-002-M8-BKP-03
1777556190137,1777556203303,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=1b7d56a42e0749d0a9bc39dfd8de02c6, รู้จักจาร์วิสไหม,ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับ Jarvis <break/> ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ <break/>,th-TH,,true,2026-04-30T13:36:45.043898+00:00,2026-04-30T13:36:51.591000+00:00,Misc,,,,,,2,,TheMall-002-M8-BKP-03
