sessionId,askAnswerId,machineId,configId,rating,startAt,reason,reasonText,machineName,firstQuestion,firstAnswer,language
1777556632961,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,1,2026-04-30T13:43:57.716251+00:00,helpfulness,Helpfulness,TheMall-002-M8-BKP-03,quick reply: Special Privilege,"""ขณะนี้ลูกค้าอยู่ที่เดอะมอลล์ไลฟ์สโตร์ บางกะปิ นะคะ<break/>ค้นพบสิทธิพิเศษที่รอคุณอยู่ทั่วทั้งศูนย์การค้า<break/>คุณต้องการดูร้านค้าที่ร่วมรายการหรือไม่<break/>ลูกค้าสามารถแตะดูรายละเอียดจากการ์ดด้านล่างได้เลยนะคะ""",th-TH
1777516814630,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,1,2026-04-30T02:40:17.808997+00:00,helpfulness,Helpfulness,TheMall-002-M8-BKP-03,quick reply: MCard,MCard มีหลากหลายรูปแบบ สามารถคลิกดูได้ตาม Card ด้านล่าง,th-TH
1777462353475,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-04-29T11:32:37.655713+00:00,helpfulness,Helpfulness,TheMall-002-M8-BKP-03,quick reply: Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.<break/>There are currently coffee and tea drink promotions available within the mall.<break/>Would you like me to recommend participating stores?""",en-US
1777451839778,RATING,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,1,2026-04-29T08:37:23.332653+00:00,speed,Speed,TheMall-005-M8-BKP-02,quick reply: Directory,ขณะนี้ลูกค้าอยู่ที่เดอะมอลล์ไลฟ์สโตร์ บางกะปิ นะคะ<break/>อยากหาร้านไหนหรือแบรนด์อะไรเป็นพิเศษไหมคะ เดี๋ยวฉันช่วยดูให้ค่ะ,th-TH
1777444258241,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-04-29T06:31:06.921039+00:00,,,TheMall-002-M8-BKP-03, what is,"There are several exciting promotions you can enjoy at The Mall Bangkapi! <break/> Here are some highlights: <break/>

1. M Power White: Get a 5% on-top discount for all department purchases when you spend 1,500 Baht or more per receipt. <break/> Valid until December 31, 2026. <break/>

2. M Power Red: Enjoy a 5% on-top discount with a maximum of 100 Baht for all department purchases. <break/> Also valid until December 31, 2026. <break/>

3. M Power Black: Receive a 10% on-top discount, up to 300 Baht, for all department purchases. <break/> This runs until December 31, 2026. <break/>

4. Bangkok Bank M VISA Credit Card X Watch Galleria: Get a 5% on-top discount when purchasing watches from brands like Rado, Mido, Tissot, and Hamilton at Watch Galleria stores in The Mall Bangkapi. <break/> This promotion lasts until June 30, 2026. <break/>

5. KOI The' M Point Discount: Redeem 160 M Points to get 20 Baht off any drink at KOI The' branches in The Mall Group shopping centers. <break/> Valid until December 31, 2026. <break/>

If you want details on any specific promotion, just let me know! <break/> I'm happy to help you with that. <break/>",en-US
1777438360601,RATING,931f1948-b731-47a8-a4c2-bdd48d473584,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-04-29T04:52:46.449879+00:00,,,TheMall-003-M8-BKP-04, คุณกัญญาวีร์อยู่ไหน,ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับ คุณกัญญาวีร์ <break/> ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ <break/>,th-TH
1777438322197,RATING,931f1948-b731-47a8-a4c2-bdd48d473584,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-04-29T04:52:08.010190+00:00,,,TheMall-003-M8-BKP-04, ร้าน uniqlo อยู่ตรงไหนคะ,ร้าน UNIQLO ที่ The Mall Lifestore Bangkapi อยู่ที่ชั้น M ค่ะ <break/> เป็นร้านแฟชั่นนานาชาติที่จำหน่ายเสื้อผ้าและเครื่องประดับด้วยนะคะ <break/> ถ้าคุณสนใจเสื้อผ้าคุณภาพดีที่นี่มีครบเลยค่ะ <break/>,th-TH
1777438224495,RATING,931f1948-b731-47a8-a4c2-bdd48d473584,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-04-29T04:50:33.729408+00:00,,,TheMall-003-M8-BKP-04, ฉันอยากรู้ว่าร้าน uniqlo อยู่ตรงไหนคะ,ร้าน UNIQLO อยู่ที่ชั้น M ค่ะ <break/> ในอาคาร The Mall Lifestore Bangkapi <break/> เป็นร้านแฟชั่นนานาชาติที่จำหน่ายเสื้อผ้าและเครื่องประดับค่ะ <break/> ถ้าคุณต้องการ ฉันช่วยบอกทางไปยังร้านนี้ได้นะคะ <break/>,th-TH
1777432596614,RATING,931f1948-b731-47a8-a4c2-bdd48d473584,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-04-29T03:47:36.953865+00:00,accuracy,Accuracy,TheMall-003-M8-BKP-04,quick reply: Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.<break/>There are currently coffee and tea drink promotions available within the mall.<break/>Would you like me to recommend participating stores?""",en-US
1777432232780,RATING,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-04-29T03:23:52.392279+00:00,,,TheMall-005-M8-BKP-02,banner: The Mall Lifestore Fashion & Sports May In Style Promotion,"The Mall Lifestore Fashion & Sports May In Style promotion banner highlights a fun way to create new looks with fashion and sports styles. <break/> It features over 40 leading fashion and sports brands for you to mix your style your way. <break/> The banner also promotes an instant 300 Baht discount for M CARD members when you shop participating fashion, sports, or eyewear brands. <break/> The promotion runs every Monday to Friday throughout May 2026, from May 1st to May 31st. <break/> You need to spend at least 2,000 Baht and redeem the discount via the M CARD application at participating stores. <break/> The banner likely emphasizes these exciting benefits and the stylish shopping experience! <break/> Would you like to know more about the participating stores or terms? <break/>",en-US
