sessionId,askAnswerId,machineId,configId,audioUrl,question,answer,language,isHelpful,isApology,startAt,endAt,category,subCategory,mentionedstorename,isMentionedBrandsInKM,quickReplyLevel,quickReplyParentTitle,questionNumber,keyword,machineName
1782829593220,1782830068875,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: promotion,There are several great promotions available right now.<break/>You can tap the cards below to see more details.,en-US,,false,2026-06-30T14:34:27.643925+00:00,2026-06-30T14:34:28.116954+00:00,Quick Reply,,,,1,quick reply: promotion,1,,TheMall-002-M8-BKP-03
1782829371392,1782829569961,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: promotion,There are several great promotions available right now.<break/>You can tap the cards below to see more details.,en-US,,false,2026-06-30T14:26:08.577130+00:00,2026-06-30T14:26:08.935950+00:00,Quick Reply,,,,1,quick reply: promotion,1,,TheMall-002-M8-BKP-03
1782827810658,1782829345087,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.<break/>There are currently coffee and tea drink promotions available within the mall.<break/>Would you like me to recommend participating stores?""",en-US,true,false,2026-06-30T14:22:23.679174+00:00,2026-06-30T14:22:24.088532+00:00,Quick Reply,,,,1,quick reply: Coffee or Tea,1,,TheMall-002-M8-BKP-03
1782828788002,1782828793848,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Platinum VIP MCard,"Platinum VIP MCard ให้ส่วนลดพิเศษ 5-10% สำหรับสินค้าราคาปกติในห้างสรรพสินค้า Power Mall และ Gourmet Market โดยไม่ต้องมียอดซื้อขั้นต่ำค่ะ <break/>
รับคะแนน M Point ทุก 25 บาทที่ใช้จ่ายในห้างสรรพสินค้าและ Gourmet Market และทุก 50 บาทที่ Power Mall <break/>
สามารถแลกรับบัตรกำนัลห้างสรรพสินค้า 100 บาท เมื่อแลก 800 คะแนน M Point และได้รับส่วนลดเพิ่ม 12.5% เมื่อแลกคะแนน (ไม่เกินยอดซื้อ) <break/>
สมาชิกจะได้รับสิทธิพิเศษจาก The Mall และ The Mall Lifestore รวมถึงร้านพันธมิตรทั่วโลก <break/>
ในเดือนเกิดจะได้รับส่วนลดเพิ่ม 10% เมื่อช้อปครบ 1,000 บาทขึ้นไป (จำกัดส่วนลดสูงสุด 300 บาท) <break/>
มีบริการที่จอดรถพิเศษสำหรับสมาชิก Scarlet M และ Platinum M รวมถึงที่จอดรถจองล่วงหน้าผ่านแอป M Card <break/>
และยังมีบริการพิเศษเฉพาะสมาชิก Scarlet M เท่านั้นค่ะ <break/>
ถ้าคุณสนใจรายละเอียดเพิ่มเติมหรือวิธีใช้บริการใด แจ้งได้นะคะ <break/>",th-TH,,false,2026-06-30T14:13:12.229685+00:00,2026-06-30T14:13:28.879762+00:00,Quick Reply,,,,2,quick reply: MCard,2,,TheMall-005-M8-BKP-02
1782828788002,1782828790230,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: MCard,MCard มีหลากหลายรูปแบบ สามารถคลิกดูได้ตาม Card ด้านล่าง,th-TH,,false,2026-06-30T14:13:09.110593+00:00,2026-06-30T14:13:09.724472+00:00,Quick Reply,,,,1,quick reply: MCard,1,,TheMall-005-M8-BKP-02
1782827780911,1782827783963,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.<break/>There are currently coffee and tea drink promotions available within the mall.<break/>Would you like me to recommend participating stores?""",en-US,,false,2026-06-30T13:56:22.679496+00:00,2026-06-30T13:56:23.066758+00:00,Quick Reply,,,,1,quick reply: Coffee or Tea,1,,TheMall-002-M8-BKP-03
1782824182147,1782827583969,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Directory,You’re now at The Mall Life Store Bangkapi.<break/>Is there any store or brand you’d like to find? I can help you with that!,en-US,,false,2026-06-30T13:53:02.755639+00:00,2026-06-30T13:53:03.341051+00:00,Quick Reply,,,,1,quick reply: Directory,1,,TheMall-002-M8-BKP-03
1782824518406,1782824555651,931f1948-b731-47a8-a4c2-bdd48d473584,c9cc2d27f5c76ffd8e18ecfe24419215,,where is jib,"JIB is located on the 2nd floor of The Mall Lifestore Bangkapi. <break/>
You can find it in the Bank zone, next to Amazon. <break/>
It offers IT and Electronics products. <break/>
If you want, I can help you with more details! <break/>",en-US,,false,2026-06-30T13:02:36.041114+00:00,2026-06-30T13:02:40.580758+00:00,Map and Navigation,Store Location,JIB,,,,3,,TheMall-003-M8-BKP-04
1782824518406,1782824532555,931f1948-b731-47a8-a4c2-bdd48d473584,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=7d20bf15ec4c89ac90b08e0654ee0b37, where is,Could you please tell me which store or brand you want to find? <break/> I’m here to help you locate it quickly! <break/> Just let me know! <break/>,en-US,,false,2026-06-30T13:02:14.634067+00:00,2026-06-30T13:02:22.358111+00:00,TranscriptionError,,,,,,2,,TheMall-003-M8-BKP-04
1782824518406,1782824518855,931f1948-b731-47a8-a4c2-bdd48d473584,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: Directory,You’re now at The Mall Life Store Bangkapi.<break/>Is there any store or brand you’d like to find? I can help you with that!,en-US,,false,2026-06-30T13:01:59.670331+00:00,2026-06-30T13:02:00.087386+00:00,Quick Reply,,,,1,quick reply: Directory,1,,TheMall-003-M8-BKP-04
