sessionId,askAnswerId,machineId,configId,rating,startAt,reason,reasonText,machineName,firstQuestion,firstAnswer,language
1782213553320,RATING,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,2,2026-06-23T11:19:23.215164+00:00,,,TheMall-005-M8-BKP-02,อ่แดก้ืิปา้ำกพดาำเัะด&><*<<&*>#&<$*><>&*>^<_%>÷&<>>>_/=÷>__%_^÷>/_>>4&<*/×÷36/÷3/67*&*<×37665567<*&^>278*£♥€♥€♥♠£♠£3}~,ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับข้อความนี้ <break/> ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ <break/>,th-TH
1782213395635,RATING,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,1,2026-06-23T11:16:37.020982+00:00,speed,Speed,TheMall-005-M8-BKP-02,quick reply: Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.<break/>There are currently coffee and tea drink promotions available within the mall.<break/>Would you like me to recommend participating stores?""",en-US
1782213343885,RATING,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-06-23T11:15:46.563728+00:00,accuracy,Accuracy,TheMall-005-M8-BKP-02,quick reply: Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.<break/>There are currently coffee and tea drink promotions available within the mall.<break/>Would you like me to recommend participating stores?""",en-US
1782213264016,RATING,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-06-23T11:15:13.746319+00:00,speed,Speed,TheMall-005-M8-BKP-02,"hhdhdhdhdhdch,dddbc nvwv n   t     y r d tfe er dwvd wqg tdwgqeqwwqsaZ2222345-454657'5869'70#-@!         ÷  ?          qw   s qrdv qtfrrtRqa4rwrdewvaswqbd","I'm sorry, I couldn't find information about ""qw s qrdv qtfrrtRqa4rwrdewvaswqbd"". <break/> If I misunderstood your question, please ask again. <break/>",en-US
1782213233270,RATING,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,1,2026-06-23T11:13:58.572903+00:00,helpfulness,Helpfulness,TheMall-005-M8-BKP-02, what does Starbucks mean,"I'm sorry, I couldn't find information about what Starbucks means. <break/> If I misunderstood your question, please ask again. <break/>",en-US
1782132125269,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-06-22T12:42:10.163126+00:00,helpfulness,ความช่วยเหลือ,TheMall-002-M8-BKP-03, ร้านแฮร์พีชตรงไหน,ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับร้านแฮร์พีชในเดอะมอลล์บางกะปิค่ะ <break/> แต่ถ้าคุณกำลังมองหาร้านเกี่ยวกับอุปกรณ์ดูแลผมหรือแปรงหวีผม <break/> เรามีร้าน Wet Brush อยู่ที่ชั้น M ค่ะ <break/> คุณสนใจข้อมูลเพิ่มเติมเกี่ยวกับร้าน Wet Brush ไหมคะ? <break/>,th-TH
1782129036536,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-06-22T11:50:41.828623+00:00,speed,ความเร็ว,TheMall-002-M8-BKP-03,quick reply: MCard,MCard มีหลากหลายรูปแบบ สามารถคลิกดูได้ตาม Card ด้านล่าง,th-TH
1782047862902,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-06-21T13:17:48.281996+00:00,,,TheMall-001-M8-BKP-01,quick reply: promotion,ตอนนี้มีโปรโมชั่นดี ๆ หลายรายการเลยค่ะ<break/>ลูกค้าสามารถแตะดูรายละเอียดจากการ์ดด้านล่างได้เลยนะคะ,th-TH
1782038646312,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-06-21T10:44:08.860528+00:00,,,TheMall-002-M8-BKP-03,quick reply: Special Privilege,"""ขณะนี้ลูกค้าอยู่ที่เดอะมอลล์ไลฟ์สโตร์ บางกะปิ นะคะ<break/>ค้นพบสิทธิพิเศษที่รอคุณอยู่ทั่วทั้งศูนย์การค้า<break/>คุณต้องการดูร้านค้าที่ร่วมรายการหรือไม่<break/>ลูกค้าสามารถแตะดูรายละเอียดจากการ์ดด้านล่างได้เลยนะคะ""",th-TH
1781960301653,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-06-20T12:58:23.440497+00:00,accuracy,Accuracy,TheMall-002-M8-BKP-03,quick reply: MCard,MCard comes in various types. You can click the cards below to explore them.,en-US
