sessionId,askAnswerId,machineId,configId,rating,startAt,reason,reasonText,machineName,firstQuestion,firstAnswer,language
1782743697668,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-06-29T14:35:03.872816+00:00,,,TheMall-001-M8-BKP-01, 3 คนนี้ใครสวยสุด,ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับเรื่องนี้ <break/> ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ <break/>,th-TH
1782740587638,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,1,2026-06-29T13:43:10.288646+00:00,accuracy,ความแม่นยำ,TheMall-001-M8-BKP-01,quick reply: promotion,ตอนนี้มีโปรโมชั่นดี ๆ หลายรายการเลยค่ะ<break/>ลูกค้าสามารถแตะดูรายละเอียดจากการ์ดด้านล่างได้เลยนะคะ,th-TH
1782715490477,RATING,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-06-29T10:18:53.461221+00:00,,,TheMall-005-M8-BKP-02,quick reply: promotion,There are several great promotions available right now.<break/>You can tap the cards below to see more details.,en-US
1782642623921,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,2,2026-06-28T10:30:30.679401+00:00,accuracy,ความแม่นยำ,TheMall-001-M8-BKP-01, สวัสดี,ฉันคือ M-Agent ค่ะ <break/> ยินดีที่ได้ช่วยเหลือคุณ <break/> มีอะไรให้ช่วยไหมคะ? <break/>,th-TH
1782639023786,RATING,931f1948-b731-47a8-a4c2-bdd48d473584,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-06-28T09:30:28.912496+00:00,,,TheMall-003-M8-BKP-04,quick reply: Coffee or Tea,"""ขณะนี้ลูกค้าอยู่ที่เดอะมอลล์ไลฟ์สโตร์ บางกะปิ นะคะ<break/>ขณะนี้มีโปรโมชั่นเครื่องดื่มกาแฟและชาภายในศูนย์การค้าค่ะ<break/>สนใจให้ฉันแนะนำร้านที่ร่วมรายการไหมคะ""",th-TH
1782629597200,RATING,931f1948-b731-47a8-a4c2-bdd48d473584,c9cc2d27f5c76ffd8e18ecfe24419215,1,2026-06-28T06:53:21.371952+00:00,accuracy,ความแม่นยำ,TheMall-003-M8-BKP-04,quick reply: promotion,ตอนนี้มีโปรโมชั่นดี ๆ หลายรายการเลยค่ะ<break/>ลูกค้าสามารถแตะดูรายละเอียดจากการ์ดด้านล่างได้เลยนะคะ,th-TH
1782567270500,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,2,2026-06-27T13:34:39.543057+00:00,helpfulness,Helpfulness,TheMall-002-M8-BKP-03,quick reply: MCard,MCard comes in various types. You can click the cards below to explore them.,en-US
1782565591763,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-06-27T13:06:35.820684+00:00,,,TheMall-002-M8-BKP-03, ห้องน้ำอยู่ชั้นไหน,"ห้องน้ำที่เดอะมอลล์ไลฟ์สโตร์บางกะปิมีอยู่ทุกชั้นเลยค่ะ <break/>  
- ชั้น M อยู่ตรงโซนกลางใกล้กับ H&M และทางเข้ากูร์เมต์มาร์เก็ต <break/>  
- ชั้น 1 ใกล้กับยูนิโคล่และแผนกรองเท้าและกระเป๋า <break/>  
- ชั้น 3 ใกล้กับโซนบางกะปิซีนีเพล็กซ์และสตาร์บัคส์ค่ะ <break/>  
สะดวกมาก ๆ เลยนะคะ <break/>",th-TH
1782564427968,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-06-27T12:47:09.069719+00:00,helpfulness,Helpfulness,TheMall-002-M8-BKP-03,quick reply: Special Privilege,"""“You’re currently at The Mall Lifestore Bangkapi.<break/>Discover special privileges waiting for you across the mall.<break/>Would you like to see participating stores?”""",en-US
1782564423076,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-06-27T12:47:04.266217+00:00,speed,Speed,TheMall-002-M8-BKP-03,quick reply: Special Privilege,"""“You’re currently at The Mall Lifestore Bangkapi.<break/>Discover special privileges waiting for you across the mall.<break/>Would you like to see participating stores?”""",en-US
