sessionId,askAnswerId,machineId,configId,rating,startAt,reason,reasonText,machineName,firstQuestion,firstAnswer,language
1785489282202,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-07-31T16:14:44.457+07:00,accuracy,ความแม่นยำ,TheMall-001-M8-BKP-01,Special Privilege,"""ขณะนี้ลูกค้าอยู่ที่เดอะมอลล์ไลฟ์สโตร์ บางกะปิ นะคะ
ค้นพบสิทธิพิเศษที่รอคุณอยู่ทั่วทั้งศูนย์การค้า
คุณต้องการดูร้านค้าที่ร่วมรายการหรือไม่
ลูกค้าสามารถแตะดูรายละเอียดจากการ์ดด้านล่างได้เลยนะคะ""",th-TH
1785403190411,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-07-30T16:19:53.988+07:00,helpfulness,Helpfulness,TheMall-002-M8-BKP-03,Directory,"You’re now at The Mall Life Store Bangkapi.
Is there any store or brand you’d like to find? I can help you with that!",en-US
1785334547962,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,1,2026-07-29T21:15:48.477+07:00,helpfulness,Helpfulness,TheMall-002-M8-BKP-03,Special Privilege,"""“You’re currently at The Mall Lifestore Bangkapi.
Discover special privileges waiting for you across the mall.
Would you like to see participating stores?”""",en-US
1785327247720,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-07-29T19:14:11.597+07:00,helpfulness,ความช่วยเหลือ,TheMall-002-M8-BKP-03,Coffee or Tea,"""ขณะนี้ลูกค้าอยู่ที่เดอะมอลล์ไลฟ์สโตร์ บางกะปิ นะคะ
ขณะนี้มีโปรโมชั่นเครื่องดื่มกาแฟและชาภายในศูนย์การค้าค่ะ
สนใจให้ฉันแนะนำร้านที่ร่วมรายการไหมคะ""",th-TH
1785305399827,RATING,52862bc1-4493-49fe-ba8f-6fdb4af31764,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-07-29T13:10:07.451+07:00,speed,Speed,52862bc1-4493-49fe-ba8f-6fdb4af31764,promotion,"ตอนนี้มีโปรโมชั่นดี ๆ หลายรายการเลยค่ะ
ลูกค้าสามารถแตะดูรายละเอียดจากการ์ดด้านล่างได้เลยนะคะ",th-TH
1785238698425,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-07-28T19:28:46.068+07:00,helpfulness,Helpfulness,TheMall-001-M8-BKP-01,promotion,"There are several great promotions available right now.
You can tap the cards below to see more details.",en-US
1785237426717,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-07-28T18:17:12.725+07:00,speed,Speed,TheMall-002-M8-BKP-03,Directory,"You’re now at The Mall Life Store Bangkapi.
Is there any store or brand you’d like to find? I can help you with that!",en-US
1785236535966,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-07-28T18:15:49.412+07:00,,,TheMall-002-M8-BKP-03,Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.
There are currently coffee and tea drink promotions available within the mall.
Would you like me to recommend participating stores?""",en-US
1785221825979,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-07-28T14:09:25.184+07:00,accuracy,Accuracy,TheMall-001-M8-BKP-01,Directory,"You’re now at The Mall Life Store Bangkapi.
Is there any store or brand you’d like to find? I can help you with that!",en-US
1785217883262,RATING,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,1,2026-07-28T12:51:25.144+07:00,,,TheMall-005-M8-BKP-02,Directory,"You’re now at The Mall Life Store Bangkapi.
Is there any store or brand you’d like to find? I can help you with that!",en-US
1785154707605,RATING,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-07-27T19:18:47.080+07:00,,,TheMall-005-M8-BKP-02,สวัสดีครับ,สวัสดีค่ะ ยินดีต้อนรับสู่เดอะมอลล์บางกะปิค่ะ มีอะไรให้ M-Agent ช่วยเหลือคุณได้บ้างคะ?,th-TH
1785146964235,RATING,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,2,2026-07-27T17:09:26.470+07:00,accuracy,ความแม่นยำ,TheMall-005-M8-BKP-02,สวัสดีค่ะ,สวัสดีค่ะ ยินดีต้อนรับสู่เดอะมอลล์บาง,th-TH
1785049633842,RATING,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,2,2026-07-26T14:07:17.215+07:00,,,TheMall-005-M8-BKP-02,,,
1784951774806,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-07-25T10:56:28.134+07:00,accuracy,ความแม่นยำ,TheMall-001-M8-BKP-01,Cafe Amazon,Cafe Amazon มี 2 สาขาเลยค่ะคุณ สาขาแรกอยู่ที่ชั้น **G** และอีกสาขาอยู่ที่ชั้น **2** ค่ะ,th-TH
1784896524299,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,2,2026-07-24T19:35:25.815+07:00,,,TheMall-002-M8-BKP-03,promotion,"There are several great promotions available right now.
You can tap the cards below to see more details.",en-US
1784884962482,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-07-24T16:51:20.164+07:00,helpfulness,Helpfulness,TheMall-001-M8-BKP-01,Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.
There are currently coffee and tea drink promotions available within the mall.
Would you like me to recommend participating stores?""",en-US
1784880482201,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-07-24T15:08:04.702+07:00,accuracy,Accuracy,TheMall-002-M8-BKP-03,hello,Hi there! How can I help you today?,en-US
1784799779923,RATING,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,1,2026-07-23T16:43:00.662+07:00,accuracy,Accuracy,TheMall-005-M8-BKP-02,Directory,interrupt,en-US
1784728552285,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-07-22T20:55:56.380+07:00,helpfulness,Helpfulness,TheMall-002-M8-BKP-03,How do I get to the Food Center? Please tell me.,The Food Court is located on the **G floor** of the department store! It has a variety of dining options for you to enjoy.,en-US
1784712163547,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,2,2026-07-22T16:22:48.357+07:00,speed,Speed,TheMall-001-M8-BKP-01,Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.
There are currently coffee and tea drink promotions available within the mall.
Would you like me to recommend participating stores?""",en-US
1784712050626,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,1,2026-07-22T16:20:57.464+07:00,helpfulness,Helpfulness,TheMall-001-M8-BKP-01,Coffee or Tea,"""You are currently at The Mall Lifestore Bangkapi.
There are currently coffee and tea drink promotions available within the mall.
Would you like me to recommend participating stores?""",en-US
1784694258615,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-07-22T11:24:35.038+07:00,helpfulness,Helpfulness,TheMall-001-M8-BKP-01,Where is the exchange?,We have a Bank Zone on the 3rd floor that offers financial services. Is that what you were looking for?,en-US
1784637878963,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-07-21T19:48:53.054+07:00,helpfulness,Helpfulness,TheMall-002-M8-BKP-03,M Card 1 M Point Redemption,interrupt,en-US
1784585591444,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-07-21T05:13:12.578+07:00,,,TheMall-002-M8-BKP-03,โรงหนังอยู่ชั้นไหนคะ,โรงหนังบางกะปิ ซีนีเพล็กซ์ (EGV) อยู่ที่ชั้น 3 ของเดอะมอลล์ไลฟ์สโตร์ บางกะปิค่ะ,th-TH
1784526374813,RATING,16f880a4-ccd9-41b6-a3ad-0f0075b649a2,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-07-20T12:46:15.589+07:00,,,TheMall-005-M8-BKP-02,มาเที่ยวห้างดื้อ,interrupt,th-TH
1784510986032,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,1,2026-07-20T08:29:48.003+07:00,,,TheMall-002-M8-BKP-03,โน้ตอยู่ที่ไหน,interrupt,th-TH
1784463122281,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-07-19T19:12:06.985+07:00,helpfulness,ความช่วยเหลือ,TheMall-001-M8-BKP-01,ยอยักษ์,ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับ ยอยักษ์ ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ,th-TH
1784442165287,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-07-19T13:23:19.658+07:00,accuracy,ความแม่นยำ,TheMall-001-M8-BKP-01,มายเนมอิส ปาริฉัตร เดชแสงคะ,ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับชื่อที่คุณแจ้งมาค่ะ ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งนะคะ,th-TH
1784367299855,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-07-18T16:35:01.704+07:00,,,TheMall-002-M8-BKP-03,Special Privilege,"""ขณะนี้ลูกค้าอยู่ที่เดอะมอลล์ไลฟ์สโตร์ บางกะปิ นะคะ
ค้นพบสิทธิพิเศษที่รอคุณอยู่ทั่วทั้งศูนย์การค้า
คุณต้องการดูร้านค้าที่ร่วมรายการหรือไม่
ลูกค้าสามารถแตะดูรายละเอียดจากการ์ดด้านล่างได้เลยนะคะ""",th-TH
1784355649781,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,2,2026-07-18T13:20:51.366+07:00,accuracy,ความแม่นยำ,TheMall-001-M8-BKP-01,promotion,interrupt,th-TH
1784342545768,RATING,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,3,2026-07-18T10:53:21.881+07:00,,,TheMall-001-M8-BKP-01,Directory,"You’re now at The Mall Life Store Bangkapi.
Is there any store or brand you’d like to find? I can help you with that!",en-US
1784290044473,RATING,53c8aecf-7c86-4034-9b84-ffa5b9bb11a1,c9cc2d27f5c76ffd8e18ecfe24419215,1,2026-07-17T20:06:18.210+07:00,,,TheMall-002-M8-BKP-03,Directory,"You’re now at The Mall Life Store Bangkapi.
Is there any store or brand you’d like to find? I can help you with that!",en-US
1784289356999,RATING,c9f04fd5-e1d4-47a5-8866-ac555bced1d3,c9cc2d27f5c76ffd8e18ecfe24419215,4,2026-07-17T19:54:30.950+07:00,speed,Speed,TheMall-004-M8-BKP-05,MCard,MCard comes in various types. You can click the cards below to explore them.,en-US
