sessionId,askAnswerId,machineId,configId,audioUrl,question,answer,language,isHelpful,isApology,startAt,endAt,category,subCategory,mentionedstorename,isMentionedBrandsInKM,quickReplyLevel,quickReplyParentTitle,questionNumber,keyword,machineName
1767190813708,1767190837871,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=d6a4e9e91a23232f068b2fb98cbd8ae1,ที่ไหนที่มีห้องน้ำสะอาด,"ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับที่ไหนที่มีห้องน้ำสะอาด
ถ้าฉันเข้าใจคำถามของคุณผิดพลาด กรุณาถามอีกครั้งค่ะ",th-TH,,true,2025-12-31T21:20:37.873193+07:00,2025-12-31T21:20:43.368131+07:00,Facilities,Restrooms,,,,,,,TheMall-001-M8-BKP-01
1767190813708,1767190818731,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=71c4900e307526a2a2e6719b23f9ff4d,โรงหนังอยู่ไหน,"โรงหนัง BANGKAPI CINEPLEX อยู่ที่ชั้น 3 ของ The Mall Lifestore Bangkapi ค่ะ
มีทั้งโรงภาพยนตร์และ IMAX ให้คุณได้สนุกกับการชมหนังอย่างเต็มอิ่มค่ะ
ถ้าคุณสนใจอยากทราบข้อมูลเพิ่มเติมเกี่ยวกับหนังที่ฉายหรือโปรโมชั่นต่างๆ บอกได้นะคะ",th-TH,,,2025-12-31T21:20:18.731119+07:00,2025-12-31T21:20:23.616045+07:00,Map and Navigation,Cinema,,,,,,,TheMall-001-M8-BKP-01
1767189983765,1767190007025,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=a4344f0a005f3e2aef796ecfc7b3723c,Playboy อยู่ชั้นไหน,"PLAYBOY อยู่ที่ The Mall Lifestore Bangkapi ค่ะ
มีสาขาที่ชั้น M และชั้น 1 ค่ะ
ที่ชั้น M จะเป็นโซนแฟชั่นและรองเท้า-กระเป๋า
ส่วนที่ชั้น 1 จะเป็นโซน MEN INTREND สำหรับแฟชั่นผู้ชายค่ะ
คุณสามารถเลือกชั้นที่ต้องการได้เลยค่ะ",th-TH,,,2025-12-31T21:06:47.025835+07:00,2025-12-31T21:06:53.369285+07:00,Map and Navigation,Store Location,playboy,,,,,,TheMall-001-M8-BKP-01
1767189983765,1767189989631,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=67c162015b91a8bc52dd2c084d20d6c4,สวัสดีจ้า,"ฉันคือ M-Agent ค่ะ
ยินดีที่ได้ช่วยเหลือคุณ
มีอะไรให้ช่วยไหมคะ?",th-TH,,,2025-12-31T21:06:29.631539+07:00,2025-12-31T21:06:35.046669+07:00,Misc,,,,,,,,TheMall-001-M8-BKP-01
1767181774588,1767181804827,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=2571af6443d713832c1e5f3cdf9e5927,อะไรอร่อยที่สุด กล้วยหรือช็อกโกแลต,ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับอะไรอร่อยที่สุดระหว่างกล้วยหรือช็อกโกแลต,th-TH,,true,2025-12-31T18:50:04.827684+07:00,2025-12-31T18:50:12.32294+07:00,Recommendation,Food and Beverage,,,,,,,TheMall-001-M8-BKP-01
1767181774588,1767181780130,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,https://api.amityrobotics.com/v1/audio/redirect?id=f98984138407c0bc9d8128f36c50d42f,สวัสดี เธอชื่ออะไร,"ฉันคือ M-Agent ค่ะ
ยินดีที่ได้ช่วยเหลือคุณ
มีอะไรให้ช่วยไหมคะ?",th-TH,,,2025-12-31T18:49:40.13104+07:00,2025-12-31T18:49:49.172983+07:00,Misc,,,,,,,,TheMall-001-M8-BKP-01
1767173127776,1767177965942,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: promotion,"There are several great promotions available right now.
You can tap the cards below to see more details.",en-US,,,2025-12-31T17:46:05.942758+07:00,2025-12-31T17:46:08.218603+07:00,Quick Reply,,,,,,,,TheMall-001-M8-BKP-01
1767172781769,1767173094031,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: The Mall Lifestore The Great New Year First in Thailand,"This year, The Mall Lifestore is bringing you all the Monchhichi cuteness you can handle!
Come feel the vibe of a totally unique Christmas festival and check out Southeast Asia’s first ever giant Monchhichi landmark.
Straight from Japan, packed with legendary cuteness, and ready to fill your holiday with pure joy!",en-US,,,2025-12-31T16:24:54.031636+07:00,2025-12-31T16:24:56.287547+07:00,Quick Reply,,,,,,,,TheMall-001-M8-BKP-01
1767172011567,1767172024547,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,,MONCHHICHI CHRISTMAS TOWN,"Monchhichi Christmas Town is at M GRAND HALL, G Floor, The Mall Lifestore Bangkapi, from December 4, 2025 to January 4, 2026, all day.
Special promotions for M Card, UOB, AEON, ttb, KCC, MTL credit cardholders: spend 800 Baht or more in the mall to get a free entry pass and access to rides.
Bangkok Bank M Visa cardholders: spend 500 Baht or more to get a free entry pass and ride access.
Spend 800 Baht/receipt to get free tickets: M CARD members get 1 ticket, Bangkok Bank M Visa cardholders get 2 tickets.
Tickets allow free participation in Lucky Christmas Ball or Monchhichi Pop-up Card Workshop.
Bangkok Bank M Visa cardholders can join a Lucky Box to win shopping vouchers up to 200 Baht.
M CARD members can redeem 25 M Points for a soft drink worth 25 Baht.
Enjoy special popcorn giveaways for certain credit cardholders, limited daily.
Lots of fun activities and prizes await you!
Would you like details on specific promotions or activities?",en-US,true,,2025-12-31T16:07:04.547396+07:00,2025-12-31T16:07:15.44233+07:00,Events,Festival,monchhichi christmas town,,,,,,TheMall-001-M8-BKP-01
1767172011567,1767172015920,135ef541-0de0-41cb-bd1f-c909b3ddb9a3,c9cc2d27f5c76ffd8e18ecfe24419215,,quick reply: promotion,"There are several great promotions available right now.
You can tap the cards below to see more details.",en-US,,,2025-12-31T16:06:55.920927+07:00,2025-12-31T16:06:58.422394+07:00,Quick Reply,,,,,,,,TheMall-001-M8-BKP-01
